근육명,,증상명,원인내용
내측익상근 ,,"입을 크게 벌리거나, 씹을 때 아프다","머리가 몸보다 앞으로 나간 자세, 엄지 손가락 빠는 습관, 껌을 심하게 씹는 경우, 이를 가는 경우, 이를 꽉 다물고 있는 경우, 정신적인 긴장, 외측 익상근에 대한 이차적인 통증유발점 발생"
승모근,,어깨에 걸친 무거운 옷을 견디기 어렵다,"양쪽 다리 길이에 차이가 있을 때, 한쪽 골반이 작을 때, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 길이가 너무 긴 지팡이를 사용하는 경우, 컴퓨터 자판이 너무 높을 때, 무거운 물건을 오래 들었을 때, 젖가슴이 큰 여성이 좁은 어깨끈의 브라를 했을 때, 무거운 코트를 입었을 때, 전화 수화기를 어깨와 턱사이에 고이고 전화를 하였을 때, 옆에 있는 사람과 대화를 하기 위해 오랫동안 고개를 옆으로 돌리고 있는 경우"
승모근,,목이 뻣뻣하다,"양쪽 다리 길이에 차이가 있을 때, 한쪽 골반이 작을 때, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 길이가 너무 긴 지팡이를 사용하는 경우, 컴퓨터 자판이 너무 높을 때, 무거운 물건을 오래 들었을 때, 젖가슴이 큰 여성이 좁은 어깨끈의 브라를 했을 때, 무거운 코트를 입었을 때, 전화 수화기를 어깨와 턱사이에 고이고 전화를 하였을 때, 옆에 있는 사람과 대화를 하기 위해 오랫동안 고개를 옆으로 돌리고 있는 경우"
경판상근,,눈이 아프다,"머리와 목을 뒤로 힘들여 제치거나 돌리고 있을 때, 머리와 목을 앞으로 많이 내밀고 있을 때, 소파의 팔걸이를 베고 고개를 구부린채 잠을 잔 경우, 찬바람에 뒷목이 노출되었을 때, 등산을 하면서 머리를 앞으로 내밀면서 돌린 채로 로프를 잡아당길 때"
두반극근 ,,머리와 목을 숙여서 고개를 돌리면 돌아가는 범위가 제한되면서 아프다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
악이복근,,혀가 아프다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
경반극근 ,,머리와 목을 숙여서 고개를 돌리면 돌아가는 범위가 제한되면서 아프다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
다열근,,뒷 머리가 아파서 베개를 벨 수 없다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
후두하근 ,,고개가 다 돌아가지 않는다,"엎드려서 팔꿈치를 고이고 텔레비전을 보는 경우, 머리를 뒤로 제친 상태에서 목을 앞으로 내민 자세, 고개를 들어 위를 보는 경우, 목의 뒤부분이 찬바람에 노출된 경우"
견갑거근 ,,숨이 찬다,"고개를 돌려 옆에 있는 원고를 보면서 키보드를 치는 경우, 전화를 오래 거는 경우, 무거운 가방을 들 때, 고개를 한쪽으로 숙이고 잠을 잔 경우, 세상의 무게가 어깨를 누르는 것 같은 정신적인 스트레스, 의자에 앉아 높은 팔걸이에 팔을 얹고 있는 경우, "
사각근 ,,잠을 설친다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
극상근,,쉬고 있는 동안에 어깨 옆이 아프다,"무거운 물건 옮기기, 질퍽한 논에서 경운기를 사용하는 경우, 팔을 뻗어서 물건을 어깨 높이로 들어 올릴 때"
극상근,,어깨가 뻣뻣하다,"무거운 물건 옮기기, 질퍽한 논에서 경운기를 사용하는 경우, 팔을 뻗어서 물건을 어깨 높이로 들어 올릴 때"
극상근,,어깨 관절에서 소리가 난다,"무거운 물건 옮기기, 질퍽한 논에서 경운기를 사용하는 경우, 팔을 뻗어서 물건을 어깨 높이로 들어 올릴 때"
극하근,,바지의 뒤 주머니에 손을 넣지 못한다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
극하근,,아픈 부분에서 땀이 난다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
극하근,,어깨를 안쪽으로 웅크리기 힘들다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
극하근,,주먹 쥔 힘이 약하다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
안윤근 ,,글자에 집중하기 어렵다,"습관적으로 얼굴 찡그리기, 사시가 있는 경우"
활배근,,큰 물건을 머리위의 선반에 올려놓으려 할 때 아프다,"팔을 몸에 붙인 상태로 손으로 체중을 지지한 경우, 무거운 물건을 잡아 당길 때, 야구공 던지기, 잡초를 뽑기 위해 비틀 때, 가슴을 브라가 꽉 조이는 경우, 높이가 낮은 의자에서 일어나면서 팔로 몸을 들어 올렸을 때"
대원근 ,,테니스 서비스 할 때 아프다,운전대가 빡빡한 차를 운전하였 때(운전대를 내려 돌릴 때)
견갑하근 ,,어깨를 옆으로 돌리기 어렵다,"수영(자유형)을 하거나 야구공을 던지면서 팔을 많이 사용하였을 때, 어린 아이를 들어서 머리위와 다리 가랭이 사이로 왔다 갔다 흔드는 경우, 견관절의 탈구, 넘어지지 않으려고 어깨를 뒤로 제쳤을 때, 상완골의 원위부에 골절이 있을 때, 겨드랑이가 붙은 채로 팔을 오랫동안 움직이지 못하도록 하였을 때"
견갑하근 ,,쉴 때나 활동할 때 어깨 뒷부분 모두 아프다,"수영(자유형)을 하거나 야구공을 던지면서 팔을 많이 사용하였을 때, 어린 아이를 들어서 머리위와 다리 가랭이 사이로 왔다 갔다 흔드는 경우, 견관절의 탈구, 넘어지지 않으려고 어깨를 뒤로 제쳤을 때, 상완골의 원위부에 골절이 있을 때, 겨드랑이가 붙은 채로 팔을 오랫동안 움직이지 못하도록 하였을 때"
견갑하근 ,,팔을 옆으로 들어올릴 때 어깨가 제한된다.,"수영(자유형)을 하거나 야구공을 던지면서 팔을 많이 사용하였을 때, 어린 아이를 들어서 머리위와 다리 가랭이 사이로 왔다 갔다 흔드는 경우, 견관절의 탈구, 넘어지지 않으려고 어깨를 뒤로 제쳤을 때, 상완골의 원위부에 골절이 있을 때, 겨드랑이가 붙은 채로 팔을 오랫동안 움직이지 못하도록 하였을 때"
삼각근,,팔을 앞-옆으로 들어 올릴 때 아프다,"사격을 할 때 반복되는 반동과 같은 유형의 반동, 넘어지면서 난간을 잡았을 때, 어깨 높이에서 오랫동안 물건 들고 있을 때, 어깨 높이보다 높은 곳에서 작업을 한 경우 "
삼각근,,팔을 옆으로 들기 어렵다,"사격을 할 때 반복되는 반동과 같은 유형의 반동, 넘어지면서 난간을 잡았을 때, 어깨 높이에서 오랫동안 물건 들고 있을 때, 어깨 높이보다 높은 곳에서 작업을 한 경우 "
외사복근,,지속적으로 통증이 나타난다. 통증은 움직임과 관계있고 음식을 먹거나 배변을 하는 것과는 상관이 없다,"기생충이 내장에 서식하는 경우와 같은 내장의 질환, 맹장염이나 자궁에 대한 수술을 하였을 경우, 정서적으로 긴장한 경우, 원반던지기 같이 몸을 회전시키는 운동을 하였을 때, 책상에 앉아서 몸을 지속적으로 돌린 상태로 있는 경우"
복직근,,지속적으로 통증이 나타난다. 통증은 움직임과 관계있고 음식을 먹거나 배변을 하는 것과는 상관이 없다,"기생충이 내장에 서식하는 경우와 같은 내장의 질환, 맹장염이나 자궁에 대한 수술을 하였을 경우, 정서적으로 긴장한 경우, 윗몸일으키기를 많이 한 경우, 추위에 노출된 경우, 변비가 있을 때, 앉아서 몸을 앞으로 구부리고 있을 때"
요추능형근,,종아리에 쥐가 난다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
요추능형근,,앞으로 구부리기나 몸통 돌리기가 어렵다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
요추능형근,,앉거나 서서 기대지 않고 몸을 바로 해서 체중 부하가 되면 통증이 극심하게 나타난다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
요추능형근,,고관절 부위가 무겁게 느껴진다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
요추능형근,,누운 자세나 의자에서 일어나기 어렵다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
요추능형근,,고환이나 사타구니가 아프다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
요추능형근,,자고 일어나면 기어서 화장실에 간다.,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
장요근 ,,똑바로 서 있으면 허리통증이 심해진다,"운전석에 앉는 것처럼 고관절을 많이 구부리고 오래 앉아 있을 때, 쪼그리고 잠을 잔 경우, 임신, 일어났다 앉았다를 반복한 경우, 다리 길이가 차이나는 경우"
경판상근,,목이 뻣뻣하다,"머리와 목을 뒤로 힘들여 제치거나 돌리고 있을 때, 머리와 목을 앞으로 많이 내밀고 있을 때, 소파의 팔걸이를 베고 고개를 구부린채 잠을 잔 경우, 찬바람에 뒷목이 노출되었을 때, 등산을 하면서 머리를 앞으로 내밀면서 돌린 채로 로프를 잡아당길 때"
대둔근,,자유형으로 수영을 할 때 엉덩이 부위의 통증이 심해진다,"주저 앉았을 때, 몸을 앞으로 구부리고 언덕을 오랫동안 올라갈 때, 자극성 약물의 근육 주사를 맞았을 때, 수영(자유형)을 하였을 때, 무릎은 펴고 약간 뒤로 기대어 오랫동안 앉아 있을 때, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 엄지 발가락의 중족지골이 짧을 때"
중둔근,,아픈 쪽으로 눕기 어렵다,"갑자기 주저 앉았을 때, 달리기, 장시간의 테니스, 에어로빅, 모래사장을 오래 걷는 등의 스포츠 손상, 한 쪽 다리로 오래 서있을 때, 둘째 발가락의 중족지골이 길 때, 천장관절이 어긋났을 때, 쪼그리고 잠을 잤을 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때"
중둔근,,걸으면 아프다,"갑자기 주저 앉았을 때, 달리기, 장시간의 테니스, 에어로빅, 모래사장을 오래 걷는 등의 스포츠 손상, 한 쪽 다리로 오래 서있을 때, 둘째 발가락의 중족지골이 길 때, 천장관절이 어긋났을 때, 쪼그리고 잠을 잤을 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때"
소둔근,,아픈 쪽으로 눕기 어렵다,"주저 앉기, 먼거리를 빨리 걷기, 무리한 달리기, 오랫동안 움직이지 않았을 때, 천장관절에 이상이 있을 때, 양발을 모으고 서있는 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 척추 후궁절제술을 한 후에 통증이 남아있는 경우는 신경근병증에 의해서 활성화된 것이다"
소둔근,,내가 그린 통증 부위가 계속해서 아프다,"주저 앉기, 먼거리를 빨리 걷기, 무리한 달리기, 오랫동안 움직이지 않았을 때, 천장관절에 이상이 있을 때, 양발을 모으고 서있는 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 척추 후궁절제술을 한 후에 통증이 남아있는 경우는 신경근병증에 의해서 활성화된 것이다"
경판상근,,눈이 침침하다,"머리와 목을 뒤로 힘들여 제치거나 돌리고 있을 때, 머리와 목을 앞으로 많이 내밀고 있을 때, 소파의 팔걸이를 베고 고개를 구부린채 잠을 잔 경우, 찬바람에 뒷목이 노출되었을 때, 등산을 하면서 머리를 앞으로 내밀면서 돌린 채로 로프를 잡아당길 때"
이상근 ,,앉거나 활동을 하면 통증이 심해진다,"쪼그려 앉으면서 다리 가랭이 사이에 큰 물건을 내려 놓을 때, 무거운 물건을 들기 위해서 허리를 구부린 채로 옆으로 비틀었을 때, 누워서 고관절을 구부린 채 다리를 벌리고 있는 경우, 둔부에 대한 직접적인 타박상, 운전을 하면서 가속 패달을 오랫동안 밟고 있을 때, 골반내 염증이 있을 때, 고관절에 관절염이 있을 때"
이상근 ,,아픈 쪽 다리가 붓는다,"쪼그려 앉으면서 다리 가랭이 사이에 큰 물건을 내려 놓을 때, 무거운 물건을 들기 위해서 허리를 구부린 채로 옆으로 비틀었을 때, 누워서 고관절을 구부린 채 다리를 벌리고 있는 경우, 둔부에 대한 직접적인 타박상, 운전을 하면서 가속 패달을 오랫동안 밟고 있을 때, 골반내 염증이 있을 때, 고관절에 관절염이 있을 때"
봉장근,,넓적다리의 앞부분에 감각이 이상하다,평발인 경우
치골근 ,,다리를 옆으로 벌리기 어렵다,"오토바이를 타면서 발대신 넓적다리로 오토바이를 감싸는 경우, 대퇴골의 목 부분에 골절이 있을 때, 고관절의 관절염이 심할 때, 다리 길이가 다를 때, 다리를 꼬고 앉아있을 때"
대퇴직근 ,,계단을 내려갈 때 다리에 힘이 없다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 고관절 골절이 있을 때 "
내측광근,,울퉁불퉁한 길을 걷다가 무릎에 힘이 빠져 휘청한다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 평발인 경우, 달리기, 축구 등을 하면서 발이 과도하게 발이 내전되었을 때, 안전벨트를 하지 않은 상태에서 자동차 사고를 당하여 무릎을 앞쪽에 찧었을 때, 단단한 바닥에 무릎 꿇고 앉아 있을 때 "
중간광근 ,,무릎이 휘청한다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 다른 광근의 2차 유발점"
중간광근 ,,무릎을 쭉 뻗기 어렵다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 다른 광근의 2차 유발점"
비복근,,밤에 종아리에 쥐가 난다,"급경사길을 걷거나 달려서 올라갔을 때, 안장이 낮은 자전거를 탔을 때, 발목이나 다리의 골절이 있을 때, 양말 입구의 고무가 근육을 누르는 경우, 굽이 높은 구두를 신었을 때, 발목을 아래로 뻗고 잠을 잤을 때, 의자의 다리 받침이 종아리를 누르는 경우"
다열근,,머리와 목을 숙여서 고개를 돌리면 돌아가는 범위가 제한되면서 아프다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
가자미근,,발이 뒤로 제쳐지는 것이 제한된다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,언덕을 오르거나 내려갈 때 무릎 뒤가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,소아시절에 나타나는 성장통,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,허리가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
족저근 ,,무릎 뒤가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
장족지신근 ,,소아시절에는 과도한 육체적인 활동 후에 나타나는 성장통이 있다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
장족지신근 ,,걷는 동안 발에 힘이 약하다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
장모지신근 ,,밤에 쥐가 난다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
후두하근 ,,뒷 머리가 아파서 베개를 벨 수 없다,"엎드려서 팔꿈치를 고이고 텔레비전을 보는 경우, 머리를 뒤로 제친 상태에서 목을 앞으로 내민 자세, 고개를 들어 위를 보는 경우, 목의 뒤부분이 찬바람에 노출된 경우"
모지외전근 ,,신발을 바꾸거나 깔창을 맞추었다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
단족지굴근 ,,신발을 바꾸거나 깔창을 맞추었다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
족저방형근 ,,발이 부은 느낌이다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
모지내전근 ,,통증 때문에 걷기 어렵다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
단모지굴근 ,,발이 저린다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
견갑거근 ,,목이 아프다,"고개를 돌려 옆에 있는 원고를 보면서 키보드를 치는 경우, 전화를 오래 거는 경우, 무거운 가방을 들 때, 고개를 한쪽으로 숙이고 잠을 잔 경우, 세상의 무게가 어깨를 누르는 것 같은 정신적인 스트레스, 의자에 앉아 높은 팔걸이에 팔을 얹고 있는 경우, "
사각근 ,,손이 저린다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
사각근 ,,손이 붓는다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
