근육명,,증상명,원인내용
단요측수근신근 ,,"주먹 쥐는 힘이 약하다(테니스 라켓을 놓친다, 주스병에서 주스를 따르기 어렵다)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
단요측수근신근 ,,손을 꽉 쥐면 팔꿈치가 아프다(악수할 때),"모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
장요측수근신근 ,,손을 꽉 쥐면 아프다(악수할 때),"모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
완요골근 ,,"손목을 힘주어 비틀면 통증이 심해진다(문고리 돌릴 때, 나사못을 돌려 박을 때)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
수지신전근,,손을 꽉 쥐면 팔꿈치가 아프다(악수할 때),농작업 시 힘들게 반복해서 손가락을 사용하였을 때
수지신전근,,손가락 마디가 뻣뻣하면서 아프다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
시지신전근 ,,손가락 마디가 뻣뻣하면서 아프다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
회외근 ,,테니스를 치거나 무거운 물건을 들면 아프다,"반복적이고 지속적으로 팔꿈치를 편 채로 힘들여서 외전하였을 때, 뻣뻣한 문 손잡이를 돌렸을 때, 손으로 빨래를 짤 때, 단단히 잠긴 병뚜껑을 열려고 할 때, 벽을 손으로 청소할 때, 악수를 많이 하였을 때  "
장장근 ,,나사못 드라이버 같은 공구를 손바닥으로 잡기 어렵다,"넘어지면서 손목이 뒤로 젖혀진 상태로 손을 짚었을 때, 지팡이의 손잡이를 손바닥으로 잡았을 떄, 나사못 드라이버의 뒤 끝을 손바닥으로 잡았을 때, 테니스 채의 손잡이 끝을 손바닥으로 잡았을 때 "
요측수근굴근 ,,두꺼운 천을 자르거나 정원일을 할 때 가위를 사용하기 어렵다,"긴 막대를 오래 잡고 있을 때, 목수가 연장을 오래 잡고 있을 때"
흉쇄유돌근,,이명 또는 귀에서 소리가 들린다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,눈물이 난다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,눈의 흰동자가 붉어진다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,통증이 있는 쪽으로 고개가 기운다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,목이 뻣뻣하다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
"심, 천지굴근",,두꺼운 천을 자르거나 정원일을 할 때 가위를 사용하기 어렵다,운전대의 윗부분을 손목을 구부린 채로 잡고 운전을 한 경우  
"심, 천지굴근",,머리 뒤에 머리 핀을 꽂는 것을 못한다,운전대의 윗부분을 손목을 구부린 채로 잡고 운전을 한 경우  
"심, 천지굴근",,머리 뒤에 머리 핀을 꽂는 것을 못한다,큰 물건을 잡으면서 무리한 때
모지굴근 ,,머리 뒤에 머리 핀을 꽂는 것을 못한다,잡초를 비틀어서 뽑았을 때
원회내근 ,,컵을 쥔 손을 밖으로 돌리기 어렵다,손목이나 팔꿈치의 골절이 있을 때
모지내전근 ,,"단추 채우기, 바느질 등이 어렵다","손으로 잡초를 비틀어서 뽑았을 때, 붓으로 그림 그리기, 바느질 하기, 글씨를 많이 쓴 경우"
모지대립근 ,,"단추 채우기, 바느질 등이 어렵다","손으로 잡초를 비틀어서 뽑았을 때, 붓으로 그림 그리기, 바느질 하기, 글씨를 많이 쓴 경우"
제일배측골간근 ,,손이 뻣뻣하다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
제일배측골간근 ,,"단추 채우기, 바느질 등이 어렵다","손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
요추능형근,,바로 누운자세에서 돌아 누우려면 아파서 힘들다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
장요근 ,,낮은 의자에서 일어나기 어렵다,"운전석에 앉는 것처럼 고관절을 많이 구부리고 오래 앉아 있을 때, 쪼그리고 잠을 잔 경우, 임신, 일어났다 앉았다를 반복한 경우, 다리 길이가 차이나는 경우"
대둔근,,언덕을 오르거나 내려갈 때 무릎 뒤가 아프다,"주저 앉았을 때, 몸을 앞으로 구부리고 언덕을 오랫동안 올라갈 때, 자극성 약물의 근육 주사를 맞았을 때, 수영(자유형)을 하였을 때, 무릎은 펴고 약간 뒤로 기대어 오랫동안 앉아 있을 때, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 엄지 발가락의 중족지골이 짧을 때"
교근,,귀에서 소리가 들린다,"만성적으로 입으로 숨쉬는 경우, 얼음이나 호두 같이 단단한 것을 갑자기 힘주어 깨물었을 경우, 외상, 이를 가는 경우, 껌을 오래 씹거나 손톱을 물어 뜯는 경우, 의치를 한 경우, 시거를 오래 물고 있기, 정신적인 스트레스, 치과에서 치료하는 동안 입을 오래 벌리고 있는 경우, 경추 견인을 하면서 입을 오래 다물고 있는 경우, 사고에 의한 직접적인 외상, 악관절염, 만성적인 치아의 염증"
대퇴근막장근 ,,아픈 쪽으로 눕기 어렵다,"높은 곳에서 뛰어 내리면서 양발로 착지하였을 때, 언덕길을 달려서 오르내렸을 때, 규칙적으로 한쪽으로 기울어진 길을 걸었을 때, 쪼그리고 잠을 잤을 때, 고관절을 많이 구부리고 오래 앉았을 때"
모지내전근 ,,발이 저린다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
측두근,,이가 서로 맞지 않는다,"턱의 고정, 이를 가는 경우, 경추 견인을 하면서 입을 오래 다물고 있는 경우, 추위에 오래 노출되었을 때, 직접적인 외상, 편타성 손상, 갑상선기능 저하증"
극하근,,어깨가 피곤하다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
장요측수근신근 ,,"손목을 힘주어 비틀면 통증이 심해진다(문고리 돌릴 때, 나사못을 돌려 박을 때)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
수지신전근,,자다가 깬다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
장장근 ,,손바닥에 딱딱하게 굳은 구축이 있다,"넘어지면서 손목이 뒤로 젖혀진 상태로 손을 짚었을 때, 지팡이의 손잡이를 손바닥으로 잡았을 떄, 나사못 드라이버의 뒤 끝을 손바닥으로 잡았을 때, 테니스 채의 손잡이 끝을 손바닥으로 잡았을 때 "
장장근 ,,손바닥을 바늘로 콕콕 찌르는 느낌이 있다.,"넘어지면서 손목이 뒤로 젖혀진 상태로 손을 짚었을 때, 지팡이의 손잡이를 손바닥으로 잡았을 떄, 나사못 드라이버의 뒤 끝을 손바닥으로 잡았을 때, 테니스 채의 손잡이 끝을 손바닥으로 잡았을 때 "
흉쇄유돌근,,어지러워서 균형을 잃었다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
교근,,턱 부위나 귀 주변에서 통증이 느껴진다.,"만성적으로 입으로 숨쉬는 경우, 얼음이나 호두 같이 단단한 것을 갑자기 힘주어 깨물었을 경우, 외상, 이를 가는 경우, 껌을 오래 씹거나 손톱을 물어 뜯는 경우, 의치를 한 경우, 시거를 오래 물고 있기, 정신적인 스트레스, 치과에서 치료하는 동안 입을 오래 벌리고 있는 경우, 경추 견인을 하면서 입을 오래 다물고 있는 경우, 사고에 의한 직접적인 외상, 악관절염, 만성적인 치아의 염증"
내측광근,,자다가 깬다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 평발인 경우, 달리기, 축구 등을 하면서 발이 과도하게 발이 내전되었을 때, 안전벨트를 하지 않은 상태에서 자동차 사고를 당하여 무릎을 앞쪽에 찧었을 때, 단단한 바닥에 무릎 꿇고 앉아 있을 때 "
외측광근,,아픈 쪽으로 눕기 어렵다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 넓적다리에 직접 외상이 가해진 경우"
외측광근,,슬개골이 고정되어 무릎을 펴기 어렵다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 넓적다리에 직접 외상이 가해진 경우"
내전근 ,,다리를 바깥 쪽으로 돌리는 것이 제한된다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
대내전근,,밤에 잠자리가 불편하다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
대내전근,,골반 속이 아프다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
박근 ,,걸으면 좋아진다,얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때
반건양근과 반막상근 ,,걸으면 배가 아프다,"다리 길이에 비해서 의자 좌석의 높이가 높아서 넓적다리 밑이 눌렸을 때, 한쪽 골반이 작은 경우, 허리통증을 치료하면서 고관절과 슬관절을 반쯤 구부린채로 비스듬하게 누워있었을 때"
전경골근 ,,발을 끈다,"발목에 염좌나 골절이 있을 때, 바닥이 험한 길을 걸었을 때"
전경골근 ,,걸을 때 발이 들리지 않는다,"발목에 염좌나 골절이 있을 때, 바닥이 험한 길을 걸었을 때"
"장,단비골근 ",,발목이 부러진 적이 있다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때, 엄지 발가락은 짧고 둘째 발가락이 긴 경우, 발을 아랫쪽으로 뻗고 잠을 잤을 때, 굽이 높은 신을 신었을 때, 평발인 경우나 신발에 아치가 없을 때, 양말 입구의 고무가 근육을 누르는 경우"
"장,단비골근 ",,발목이 자주 삔다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때, 엄지 발가락은 짧고 둘째 발가락이 긴 경우, 발을 아랫쪽으로 뻗고 잠을 잤을 때, 굽이 높은 신을 신었을 때, 평발인 경우나 신발에 아치가 없을 때, 양말 입구의 고무가 근육을 누르는 경우"
"장,단비골근 ",,발목이 불안정하다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때, 엄지 발가락은 짧고 둘째 발가락이 긴 경우, 발을 아랫쪽으로 뻗고 잠을 잤을 때, 굽이 높은 신을 신었을 때, 평발인 경우나 신발에 아치가 없을 때, 양말 입구의 고무가 근육을 누르는 경우"
"장,단비골근 ",,발목이 약하다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때, 엄지 발가락은 짧고 둘째 발가락이 긴 경우, 발을 아랫쪽으로 뻗고 잠을 잤을 때, 굽이 높은 신을 신었을 때, 평발인 경우나 신발에 아치가 없을 때, 양말 입구의 고무가 근육을 누르는 경우"
제삼비골근 ,,발목이 부러진 적이 있다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때"
제삼비골근 ,,발목이 자주 삔다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때"
제삼비골근 ,,발목이 불안정하다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때"
제삼비골근 ,,발목이 약하다,"발목이 비틀린 상태로 발을 디뎠을 때(발목이 안쪽으로 접질렸을 때), 오랫동안 움직이지 않아서 근약증이 있을 때"
비복근,,걷다가 다리를 전다,"급경사길을 걷거나 달려서 올라갔을 때, 안장이 낮은 자전거를 탔을 때, 발목이나 다리의 골절이 있을 때, 양말 입구의 고무가 근육을 누르는 경우, 굽이 높은 구두를 신었을 때, 발목을 아래로 뻗고 잠을 잤을 때, 의자의 다리 받침이 종아리를 누르는 경우"
비복근,,가파른 경사를 오를 때 무릎 뒤가 아프다,"급경사길을 걷거나 달려서 올라갔을 때, 안장이 낮은 자전거를 탔을 때, 발목이나 다리의 골절이 있을 때, 양말 입구의 고무가 근육을 누르는 경우, 굽이 높은 구두를 신었을 때, 발목을 아래로 뻗고 잠을 잤을 때, 의자의 다리 받침이 종아리를 누르는 경우"
족저방형근 ,,통증 때문에 걷기 어렵다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
족골간근,,발가락이 구부러졌다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
내측익상근 ,,음식을 삼키기가 불편하다,"머리가 몸보다 앞으로 나간 자세, 엄지 손가락 빠는 습관, 껌을 심하게 씹는 경우, 이를 가는 경우, 이를 꽉 다물고 있는 경우, 정신적인 긴장, 외측 익상근에 대한 이차적인 통증유발점 발생"
외측익상근 ,,축농증 때문에 콧물이 많이 나온다,"이를 가는 경우, 껌을 심하게 씹는 경우, 손톱 깨물기"
외측익상근 ,,이가 서로 맞지 않는다,"이를 가는 경우, 껌을 심하게 씹는 경우, 손톱 깨물기"
악이복근,,고개 돌리면 삼킬 때 통증이 심해지므로 고개 돌리기 싫다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,이를 간다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,시력이 나빠졌다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,눈이 침침하다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,어지럽다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,목 속에 무엇이 걸렸다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,입으로 숨을 쉰다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,턱이 앞으로 나왔다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,턱 밑에 무엇인가 붙어있는 느낌,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
악이복근,,음식을 삼키기가 불편하다,"이를 가는 경우, 축농증이나 알레르기성 비염으로 코가 막혀서 입으로 숨을 쉬는 경우, 편타성 손상"
제이배측골간근 ,,"단추 채우기, 바느질 등이 어렵다","손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
제이배측골간근 ,,손가락 마디가 아프다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
늑간근 ,,"심호흡, 기침, 재채기를 하면 통증이 심해진다","직접적인 외상, 심한 기침, 흉부 수술, 대상포진, 늑골 골절 등이 있을 때, 기흉이나 늑막염이 있을 때"
전거근 ,,가슴이 아프다,"빠르게 달리기, 오래 달리기, 팔굽혀 펴기, 머리 위로 무거운 물건 들기, 심한 기침을 하였을 때, 운전을 하던 중에 사고를 피하기 위하여 운전대를 갑자기 돌렸을 때, 팔은 물건을 잡은 상태에서 몸통을 돌린 경우 "
하후거근 ,,스트레칭하면 통증이 좋아진다,"물건을 들어서 몸을 돌려서 내려놓는 동작이 함께 이루어 지면서 부담이 될 때, 다리 길이가 다를 때, 사다리에서 머리 위에 있는 작업을 하면서 등이 뒤로 젖혀지는 경우"
요장륵근,,몸통의 움직임이 많이 제한된다,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
복직근,,물건을 들기 위해서 허리를 숙이면 통증이 심해진다,"기생충이 내장에 서식하는 경우와 같은 내장의 질환, 맹장염이나 자궁에 대한 수술을 하였을 경우, 정서적으로 긴장한 경우, 윗몸일으키기를 많이 한 경우, 추위에 노출된 경우, 변비가 있을 때, 앉아서 몸을 앞으로 구부리고 있을 때"
추체근 ,,지속적으로 통증이 나타난다. 통증은 움직임과 관계있고 음식을 먹거나 배변을 하는 것과는 상관이 없다,"기생충이 내장에 서식하는 경우와 같은 내장의 질환, 맹장염이나 자궁에 대한 수술을 하였을 경우, 정서적으로 긴장한 경우, 윗몸일으키기를 많이 한 경우, 추위에 노출된 경우, 변비가 있을 때, 앉아서 몸을 앞으로 구부리고 있을 때"
교근,,악관절이 아프다,"만성적으로 입으로 숨쉬는 경우, 얼음이나 호두 같이 단단한 것을 갑자기 힘주어 깨물었을 경우, 외상, 이를 가는 경우, 껌을 오래 씹거나 손톱을 물어 뜯는 경우, 의치를 한 경우, 시거를 오래 물고 있기, 정신적인 스트레스, 치과에서 치료하는 동안 입을 오래 벌리고 있는 경우, 경추 견인을 하면서 입을 오래 다물고 있는 경우, 사고에 의한 직접적인 외상, 악관절염, 만성적인 치아의 염증"
중간광근 ,,계단을 오를 수 없다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 다른 광근의 2차 유발점"
외측광근,,무릎 종지뼈가 고정된다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 넓적다리에 직접 외상이 가해진 경우"
내전근 ,,다리에 체중을 싣거나 몸을 비틀면 통증이 심해진다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
대내전근,,수면 중 다리를 편하게 두기 어려워 아프지 않은 쪽으로 누워서 다리사이에 베개를 넣는다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 자전거를 오래 탔을 때, 자동차 앞좌석에 앉으려고 하다가 발을 잘 못 디딘 경우, 오랫동안 같은 자세로 운전을 했을 때"
대내전근,,성관계를 할 때 아프다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
반건양근과 반막상근 ,,의자에서 일어날 때 넓적다리 뒤가 아프다,"다리 길이에 비해서 의자 좌석의 높이가 높아서 넓적다리 밑이 눌렸을 때, 한쪽 골반이 작은 경우, 허리통증을 치료하면서 고관절과 슬관절을 반쯤 구부린채로 비스듬하게 누워있었을 때"
슬와근 ,,언덕이나 계단을 내려갈 때 무릎 뒤가 아프다,"달리기, 축구와 스키타기를 하였을 때, 후방 십자인대가 손상된 경우, 심한 평발 일 때"
전경골근 ,,발목이 약하다,"발목에 염좌나 골절이 있을 때, 바닥이 험한 길을 걸었을 때"
족저방형근 ,,발이 저린다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
