근육명,,증상명,원인내용
단모지굴근 ,,발이 부은 느낌이다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
족골간근,,통증 때문에 걷기 어렵다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
승모근,,옆머리가 아프다,"양쪽 다리 길이에 차이가 있을 때, 한쪽 골반이 작을 때, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 길이가 너무 긴 지팡이를 사용하는 경우, 컴퓨터 자판이 너무 높을 때, 무거운 물건을 오래 들었을 때, 젖가슴이 큰 여성이 좁은 어깨끈의 브라를 했을 때, 무거운 코트를 입었을 때, 전화 수화기를 어깨와 턱사이에 고이고 전화를 하였을 때, 옆에 있는 사람과 대화를 하기 위해 오랫동안 고개를 옆으로 돌리고 있는 경우"
사각근 ,,손에 들고 있던 물건을 놓친다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
극하근,,등 뒤에서 브래지어를 잠그지 못한다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
삼각근,,팔을 옆으로 들기 어렵다,"이곳에 근육주사를 맞았을 때, 긴 연장을 심하게 휘두르며 사용하였을 때"
삼각근,,팔을 옆으로 들기 어렵다,팔을 힘주어 반복해서 옆으로 벌리는 경우
오훼완근 ,,손을 등 뒤로 돌려서 반대 쪽 팔을 잡을 수 없다,"전삼각근, 상완이두근, 대흉근에 근막통증후군의 통증유발점이 있을 때"
이두박근 ,,팔을 어깨 높이 이상 들어올리면 아프다,"손바닥을 위로 보게한 채 무거운 물건을 들었을 때, 나사못을 박기 위해 드라이버를 많이 사용한 경우, 눈을 치운 경우"
상완근 ,,엄지손가락이 저리다,"팔꿈치를 구부린 채 무거운 물건을 들 때, 다리미질을 오래 하였을 때"
"삼두박근,내측두",,골프나 테니스를 하면서 팔꿈치를 힘차게 펼 때 아프다,"길이가 긴 지팡이를 심하게 사용하였을 때, 테니스를 치면서 백핸드로 하다가 헛손질을 하였을 때, 수동변속기 자동차를 가지고 시내 주행을 하였을 때, 복사를 하면서 책을 여러 번 눌렀을 때"
"삼두박근,외측두",,골프나 테니스를 하면서 팔꿈치를 힘차게 펼 때 아프다,"길이가 긴 지팡이를 심하게 사용하였을 때, 테니스를 치면서 백핸드로 하다가 헛손질을 하였을 때, 수동변속기 자동차를 가지고 시내 주행을 하였을 때, 복사를 하면서 책을 여러 번 눌렀을 때"
"삼두박근,원위부",,골프나 테니스를 하면서 팔꿈치를 힘차게 펼 때 아프다,"길이가 긴 지팡이를 심하게 사용하였을 때, 테니스를 치면서 백핸드로 하다가 헛손질을 하였을 때, 수동변속기 자동차를 가지고 시내 주행을 하였을 때, 복사를 하면서 책을 여러 번 눌렀을 때"
"삼두박근,심내측두",,골프나 테니스를 하면서 팔꿈치를 힘차게 펼 때 아프다,"길이가 긴 지팡이를 심하게 사용하였을 때, 테니스를 치면서 백핸드로 하다가 헛손질을 하였을 때, 수동변속기 자동차를 가지고 시내 주행을 하였을 때, 복사를 하면서 책을 여러 번 눌렀을 때"
주근 ,,골프나 테니스를 하면서 팔꿈치를 힘차게 펼 때 아프다,"길이가 긴 지팡이를 심하게 사용하였을 때, 테니스를 치면서 백핸드로 하다가 헛손질을 하였을 때, 수동변속기 자동차를 가지고 시내 주행을 하였을 때, 복사를 하면서 책을 여러 번 눌렀을 때"
척측수근신근 ,,"손목을 힘주어 비틀면 통증이 심해진다(문고리 돌릴 때, 나사못을 돌려 박을 때)","척골이 골절 되었을 때, 오십견이 있어서 손목을 많이 사용하였을 때"
척측수근신근 ,,손을 꽉 쥐면 아프다(악수할 때),"척골이 골절 되었을 때, 오십견이 있어서 손목을 많이 사용하였을 때"
단요측수근신근 ,,"손목을 힘주어 비틀면 통증이 심해진다(문고리 돌릴 때, 나사못을 돌려 박을 때)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
항문괄략근 ,,앉아 있는 것이 편하지 않다.,"심하게 주저 앉았을 때, 자동차 사고, 골반 주변에 수술을 받았을 경우, 오랫동안 웅크린 자세로 앉아 있을 때, 천장관절에 이상이 있을 때, 만성 치질이나 만성 골반내 염증이 있을 때"
이상근 ,,남성인 경우 발기부전이 있다,"쪼그려 앉으면서 다리 가랭이 사이에 큰 물건을 내려 놓을 때, 무거운 물건을 들기 위해서 허리를 구부린 채로 옆으로 비틀었을 때, 누워서 고관절을 구부린 채 다리를 벌리고 있는 경우, 둔부에 대한 직접적인 타박상, 운전을 하면서 가속 패달을 오랫동안 밟고 있을 때, 골반내 염증이 있을 때, 고관절에 관절염이 있을 때"
대퇴직근 ,,옆으로 누워서 자다가 무릎이 아파서 깬다,"당뇨 환자가 다리에 인슐린 주사를 맞았을 때, 계단을 내려가면서 다리를 헛 디뎠을 때, 운동을 하면서 무릎을 많이 구부리는 경우, 무릎(넓적다리) 위에 무거운 물건을 놓고 오래 앉아 있을 때, 한발을 엉덩이 밑에 깔고 앉을 때, 고관절 골절이 있을 때 "
능형근 ,,어깨뼈 주변에서 소리가 난다,"천장에 페인트를 칠할 때, 글을 쓰거나 바느질을 하면서 등이 굽은 자세로 오래 있을 때 "
완요골근 ,,손을 꽉 쥐면 아프다(악수할 때),"모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
수지신전근,,주먹 쥐는 힘이 약하다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
시지신전근 ,,주먹 쥐는 힘이 약하다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
흉쇄유돌근,,눈이 침침하다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,콧물이 난다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,코가 막힌다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
"심, 천지굴근",,두꺼운 천을 자르거나 정원일을 할 때 가위를 사용하기 어렵다,큰 물건을 잡으면서 무리한 때
모지굴근 ,,두꺼운 천을 자르거나 정원일을 할 때 가위를 사용하기 어렵다,잡초를 비틀어서 뽑았을 때
모지내전근 ,,엄지 손가락의 움직임이 둔하다,"손으로 잡초를 비틀어서 뽑았을 때, 붓으로 그림 그리기, 바느질 하기, 글씨를 많이 쓴 경우"
모지대립근 ,,엄지 손가락의 움직임이 둔하다,"손으로 잡초를 비틀어서 뽑았을 때, 붓으로 그림 그리기, 바느질 하기, 글씨를 많이 쓴 경우"
제일배측골간근 ,,손가락 마디에 혹이 생겼다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
흉쇄유돌근,,단단한 바닥에 베개 없이 누울 때 어지럽다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
장모지굴근 ,,신발을 바꾸거나 깔창을 맞추었다,"울퉁불퉁한 길이나 옆으로 경사진 길에서 달리기를 하였을 때, 평발이 심한 경우, 발의 아치가 높은 경우, 많이 닳은 신발을 신고 달리기를 한 경우, 신발의 바닥이 너무 뻣뻣한 경우"
"장,단족지신근 ",,다리를 절며 조금 밖에 걸을 수 없다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
승모근,,양쪽 날개뼈 사이가 뜨겁게 아파요,"오랫 동안 운전대 위를 잡고 운전하는 것처럼 팔을 앞으로 나란히 자세로 오래 있을 때, 등이 둥그렇게 굽은 경우"
흉쇄유돌근,,눈꺼풀이 쳐진다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,멀미한다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,귀가 잘 들리지 않는다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
외측익상근 ,,악관절이 아프다,"이를 가는 경우, 껌을 심하게 씹는 경우, 손톱 깨물기"
외측익상근 ,,이명,"이를 가는 경우, 껌을 심하게 씹는 경우, 손톱 깨물기"
대내전근,,골반 속이 아프다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 자전거를 오래 탔을 때, 자동차 앞좌석에 앉으려고 하다가 발을 잘 못 디딘 경우, 오랫동안 같은 자세로 운전을 했을 때"
대내전근,,수면 중 다리를 편하게 두기 어려워 아프지 않은 쪽으로 누워서 다리사이에 베개를 넣는다,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
대퇴이두근 ,,밤에 아파서 잠을 설친다,"다리 길이에 비해서 의자 좌석의 높이가 높아서 넓적다리 밑이 눌렸을 때, 한쪽 골반이 작은 경우, 허리통증을 치료하면서 고관절과 슬관절을 반쯤 구부린채로 비스듬하게 누워있었을 때"
후경골근 ,,불규칙한 바닥을 걸을 때나 달리면 발과 아킬레스건 주변이 아프다,"울퉁불퉁한 길에서 달리기를 하였을 때, 평발인 경우"
장모지신근 ,,걷는 동안 발에 힘이 약하다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
능형근 ,,아픈 쪽으로 눕거나 등이 굽었을 때 통증이 심해진다 ,"천장에 페인트를 칠할 때, 글을 쓰거나 바느질을 하면서 등이 굽은 자세로 오래 있을 때 "
장요측수근신근 ,,"주먹 쥐는 힘이 약하다(테니스 라켓을 놓친다, 주스병에서 주스를 따르기 어렵다)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
완요골근 ,,"주먹 쥐는 힘이 약하다(테니스 라켓을 놓친다, 주스병에서 주스를 따르기 어렵다)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
척측수근굴근 ,,두꺼운 천을 자르거나 정원일을 할 때 가위를 사용하기 어렵다,"긴 막대를 오래 잡고 있을 때, 목수가 연장을 오래 잡고 있을 때"
가자미근,,밤에 발뒤꿈치가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
가자미근,,발과 발목이 부었다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
장족지신근 ,,밤에 쥐가 난다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
흉쇄유돌근,,쇄골 위쪽 움푹 틀어간 곳에 근육이 좀 많이 굳어있다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
족저근,,발뒤꿈치 안쪽이 아프고 발가락을 발등쪽으로 구부리면 통증이 있다 ,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
광배근,,팔을 많이 쓰고 나면 등 아래쪽이 아프다.,"머리 위로 팔을 들어 올리는 활동을 많이 했을 때, 머리 위로 무거운 물건 들어 올리기, 로프에 매달리기, 외줄 타고 오르기, 야구공 던지기, 높은 곳에 있는 물건을 잡기 위해 팔을 뻗는 활동, 팔을 올려서 장시간 지속되는 작업(도배, 페인트 칠하기, 배구, 농구)을 했을 때, 몸을 숙이고 풀을 뽑거나 무리한 회전이 필요한 운동을 했을 때"
흉쇄유돌근,,목의 비대칭이 발생,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
요장륵근,,허리~옆구리쪽이 많이 뭉친 느낌이 듬,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
요추능형근,,앉았다가 일어날때 왼쪽 엉덩이쪽에 통증이 느껴짐,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
족저근,, 걷고나면 발바닥 가운데가 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
슬와근,,허벅지 후방에서 통증,"달리기, 축구를 하였을 때, 후방 십자인대가 손상된 경우, 심한 평발 일 때"
슬와근,,다리 부종,"달리기, 축구를 하였을 때, 후방 십자인대가 손상된 경우, 심한 평발 일 때"
늑간근,,갈비뼈 사이에 통증이 느껴진다.,"직접적인 외상, 심한 기침, 흉부 수술, 대상포진, 늑골 골절 등이 있을 때, 기흉이나 늑막염이 있을 때"
늑간근 ,,몸을 비틀거나 팔을 올릴 때 통증이 심해져서 움직임이 제한된다.,"직접적인 외상, 심한 기침, 흉부 수술, 대상포진, 늑골 골절 등이 있을 때, 기흉이나 늑막염이 있을 때"
족저근,, 아킬레스건 쪽이 아프다,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
이두박근,,팔 앞쪽에 통증이 느껴지고 팔꿈치를 구부리거나 펼떄 통증이 느껴진다.,"손바닥을 위로 보게한 채 무거운 물건을 들었을 때, 나사못을 박기 위해 드라이버를 많이 사용한 경우, 눈을 치운 경우"
상완근,,팔이 잘 안굽혀지고 엄지손가락이 아프다. ,"팔꿈치를 구부린 채 무거운 물건을 들 때, 다리미질을 오래 하였을 때"
능형근,,갈비뼈 아랫부분 팔뚝 까지 통증이느껴진다,"천장에 페인트를 칠할 때, 글을 쓰거나 바느질을 하면서 등이 굽은 자세로 오래 있을 때 "
족저근,,발뒤꿈치에 통증이 있다.,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
족저근,,발 안쪽 아치에 통증이 있다.,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
족저근,,발목을 위로 젖히거나 까치발 드는 동작이 어렵다.,"근육이 추위에 노출 되었을 때, 다리 길이가 짧을 때, 딱딱하고 미끄러운 길을 신바닥이 부드러운 신을 신고 걸으면서 발이 미끌어지는 경우, 가파른 언덕을 한참 올라갔을 때, 해변을 걸은 경우, 신발의 발바닥이 뻣뻣한 경우, 계단에서 발을 헛디뎌 한발의 발 끝으로만 계단을 밟게 된 경우, 계속해서 발목을 바닥쪽으로 굽히고 있을 때(의자의 좌석이 높아서 발이 바닥에 닿지 않을 때, 자면서 발을 바닥쪽으로 향하게 하는 경우"
내전근,,앉거나 일어설 때 허벅지 안쪽이 아프다.,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
내전근,,생식기 부분이 뻐근하거나 떨린다.,"얼음 위에서 미끄러지면서 다리 가랭이가 벌어지지 않게 하려고 힘을 주었을 때, 고관절의 퇴행성관절염, 오랫동안 같은 자세로 운전을 했을 때"
장요근 ,,사타구니에 통증이 있다.,"운전석에 앉는 것처럼 고관절을 많이 구부리고 오래 앉아 있을 때, 쪼그리고 잠을 잔 경우, 임신, 일어났다 앉았다를 반복한 경우, 다리 길이가 차이나는 경우"
장요근 ,,앉았다가 일어설 때 허리를 피기 어렵다.,"운전석에 앉는 것처럼 고관절을 많이 구부리고 오래 앉아 있을 때, 쪼그리고 잠을 잔 경우, 임신, 일어났다 앉았다를 반복한 경우, 다리 길이가 차이나는 경우"
다열근,,목 뒤에서 통증이 느껴진다.,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비젼을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
다열근,,흉추 중간 또는 위가 아프다.,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비젼을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
다열근,,복부경련이 있다.,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비젼을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
전경골근,,발등을 들때 정강이가 아프다.,"발목에 염좌나 골절이 있을 때, 바닥이 험한 길을 걸었을 때"
